name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_adventure,genre_mystery,genre_horror,genre_fantasy,director_top,runtime
12 O'Clock,,105 min,"Horror, Thriller",4.4,63.0,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,0,0,0,0,0,1,0,0,0,0,1,0,Ram Gopal Varma,
127 B,,116 min,"Comedy, Horror",6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,0,0,0,1,0,0,0,0,0,0,1,0,other,
13B: Fear Has a New Address,,146 min,"Drama, Horror, Mystery",7.3,,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,1,0,0,0,0,0,0,0,0,1,1,0,other,
15 Park Avenue,,116 min,Drama,7.1,,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,1,0,0,0,0,0,0,0,0,0,0,0,other,
15th August,,168 min,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,1,0,0,0,0,0,0,0,0,0,0,0,other,
16 December,,158 min,"Action, Thriller",6.9,,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,0,1,0,0,0,1,0,0,0,0,0,0,other,
18.11,,126 min,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,0,1,0,0,0,0,0,0,0,0,0,0,other,
1857,,,"Drama, History",5.0,8.0,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi,1,0,0,0,0,0,0,0,0,0,0,0,other,
19 Revolutions,,94 min,Drama,4.5,16.0,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,1,0,0,0,0,0,0,0,0,0,0,0,other,
1920,,138 min,"Horror, Mystery, Romance",6.4,,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,0,0,1,0,0,0,0,0,0,1,1,0,Vikram Bhatt,
1920 London,,120 min,"Horror, Mystery",4.1,,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,0,0,0,0,0,0,0,0,0,1,1,0,other,
1920: Evil Returns,,124 min,"Drama, Horror, Romance",4.8,,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,1,0,1,0,0,0,0,0,0,0,1,0,other,
1921,,144 min,"Horror, Mystery, Romance",4.5,,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,0,0,1,0,0,0,0,0,0,1,1,0,Vikram Bhatt,
1942: A Love Story,,157 min,"Action, Drama, History",7.2,,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,1,1,0,0,0,0,0,0,0,0,0,0,other,
1971,,136 min,"Action, Drama, War",8.1,,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,1,1,0,0,0,0,0,0,0,0,0,0,other,
1978: A Teen Night Out,,107 min,Thriller,4.0,20.0,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,0,0,0,0,0,1,0,0,0,0,0,0,other,
1982 - A Love Marriage,,113 min,Comedy,5.5,106.0,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,0,0,0,1,0,0,0,0,0,0,0,0,other,
19th January,,,Drama,7.3,16.0,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia,1,0,0,0,0,0,0,0,0,0,0,0,other,
2 Little Indians,,,"Comedy, Family",5.6,14.0,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra,0,0,0,1,0,0,1,0,0,0,0,0,other,
2 Nights in Soul Valley,,80 min,"Adventure, Horror, Mystery",6.8,21.0,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,0,0,0,0,0,0,0,0,1,1,1,0,other,
2 October,,122 min,"Action, Crime, Thriller",5.0,33.0,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,0,1,0,0,1,1,0,0,0,0,0,0,other,
2 States,,149 min,"Comedy, Drama, Romance",6.9,,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,1,0,1,1,0,0,0,0,0,0,0,0,other,
2.0,,148 min,"Action, Sci-Fi",6.2,,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,0,1,0,0,0,0,0,0,0,0,0,0,other,
2001: Do Hazaar Ek,,149 min,"Crime, Mystery, Thriller",3.5,112.0,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,0,0,0,0,1,1,0,0,0,1,0,0,Raj N. Sippy,
2016 the End,,130 min,Comedy,6.1,94.0,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,0,0,0,1,0,0,0,0,0,0,0,0,other,
22 Days,,124 min,Thriller,6.1,8.0,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,0,0,0,0,0,1,0,0,0,0,0,0,other,
22 June 1897,,121 min,"Drama, History",7.7,52.0,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,1,0,0,0,0,0,0,0,0,0,0,0,other,
22 Yards,,126 min,Sport,6.1,361.0,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,0,0,0,0,0,0,0,0,0,0,0,0,other,
23rd March 1931: Shaheed,,188 min,"Biography, Drama, History",5.1,642.0,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,1,0,0,0,0,0,0,0,0,0,0,0,other,
25th July,,,,7.6,5.0,Chitra Mitra,,,,0,0,0,0,0,0,0,0,0,0,0,0,other,
26 January,,,,6.6,7.0,Ramesh Saigal,Ajit,,,0,0,0,0,0,0,0,0,0,0,0,0,other,
26th July at Barista,,,Drama,3.1,32.0,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla,1,0,0,0,0,0,0,0,0,0,0,0,other,
27 Down,,115 min,Drama,6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,1,0,0,0,0,0,0,0,0,0,0,0,other,
3 AM: A Paranormal Experience,,103 min,"Horror, Romance",5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,0,0,1,0,0,0,0,0,0,0,1,0,other,
3 Bachelors,,114 min,"Comedy, Romance",3.3,165.0,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,0,0,1,1,0,0,0,0,0,0,0,0,other,
3 Deewarein,,115 min,"Crime, Drama",7.8,,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,1,0,0,0,1,0,0,0,0,0,0,0,other,
3 Dev,,122 min,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,0,0,0,1,0,0,0,0,0,0,0,0,other,
3 Idiots,,170 min,"Comedy, Drama",8.4,,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,1,0,0,1,0,0,0,0,0,0,0,0,other,
3 Nights 4 Days,,,"Drama, Romance",5.2,23.0,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani,1,0,1,0,0,0,0,0,0,0,0,0,other,
3 Storeys,,100 min,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,1,0,0,0,0,0,0,0,0,0,0,0,other,
3.0 Megapixel,,99 min,"Adventure, Drama",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,1,0,0,0,0,0,0,0,1,0,0,0,other,
30 Days,,,Horror,5.0,14.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo,0,0,0,0,0,0,0,0,0,0,1,0,other,
30 Minutes,,,Thriller,4.8,26.0,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar,0,0,0,0,0,1,0,0,0,0,0,0,other,
31st October,,109 min,"Action, Drama, History",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,1,1,0,0,0,0,0,0,0,0,0,0,other,
340,,,Thriller,4.6,9.0,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa,0,0,0,0,0,1,0,0,0,0,0,0,other,
36 China Town,,140 min,"Comedy, Mystery, Thriller",5.7,,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,0,0,0,1,0,1,0,0,0,1,0,0,Abbas Alibhai Burmawalla,
36 Chowringhee Lane,,122 min,"Drama, Romance",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,1,0,1,0,0,0,0,0,0,0,0,0,other,
36 Ghante,,,"Action, Crime, Drama",6.7,128.0,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt,1,1,0,0,1,0,0,0,0,0,0,0,other,
