name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
Dudes in the 10th Century,,130 min,Comedy,4.6,850.0,Imtiaz Punjabi,Paresh Rawal,Iqbal Khan,Anuj Sawhney
Duet,,156 min,"Musical, Romance",6.5,276.0,K. Balachander,Prabhu,Ramesh Aravind,Meenakshi Sheshadri
Duhai,,120 min,nan,5.0,7.0,V.M. Vyas,Ansari,Shanta Apte,Noor Jehan
Dukaan: Pila House,,,"Drama, Romance",3.7,11.0,Iqbal Durrani,Rati Agnihotri,Vikas Kalantri,Rambha
Dulaara,,,"Comedy, Crime, Drama",4.6,262.0,Vimal Kumar,Govinda,Karisma Kapoor,Ranjeet
Dulaara,,160 min,Drama,5.2,13.0,Rajkumar R. Pandey,Abhilasha,Rani Chatterjee,Mohini Ghosh
Dulari,,133 min,"Musical, Romance",6.5,31.0,Abdul Rashid Kardar,Suresh,Shyam Kumar,Madhubala
Dulha Bikta Hai,,,"Family, Drama",5.8,25.0,Anwar Pasha,Raj Babbar,Anita Raj,Simple Kapadia
Dulha Dulhan,,141 min,"Comedy, Drama, Family",7.1,90.0,Ravindra Dave,Raj Kapoor,Sadhana,Agha
Dulha Mil Gaya,,152 min,"Comedy, Drama, Romance",4.2,,Mudassar Aziz,Sushmita Sen,Fardeen Khan,Ishita Sharma
Dulhan,,,Drama,6.7,31.0,C.V. Rajendran,David Abraham,Agha,Nasir Hussain
Dulhan,,,Drama,6.2,5.0,V.M. Vyas,Nirupa Roy,Raaj Kumar,Nanda
Dulhan Banoo Main Teri,,,"Action, Drama, Romance",5.7,35.0,Babbar Subhash,Arun Bakshi,Beena Banerjee,Sheeba Bhakri
Dulhan Chahi Pakistan Se,,159 min,"Action, Drama, Family",5.1,19.0,Rajkumar R. Pandey,Pradeep Pandey,Mukesh Rishi,Subhi Sharma
Dulhan Ek Raat Ki,,170 min,"Crime, Drama, Music",6.7,40.0,D.D. Kashyap,Dharmendra,Nutan,Johnny Walker
Dulhan Hum Le Jayenge,,158 min,"Comedy, Drama, Romance",5.1,,David Dhawan,Salman Khan,Karisma Kapoor,Om Puri
Dulhan Wahi Jo Piya Man Bhaaye,,165 min,"Musical, Drama, Family",7.9,62.0,Lekh Tandon,Rameshwari,Prem Krishan,Madan Puri
Dulhe Raja,,143 min,Comedy,6.6,,Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan
Dum,,166 min,"Action, Crime, Drama",5.6,,Eeshwar Nivas,Vivek Oberoi,Dia Mirza,Atul Kulkarni
Dum Laga Ke Haisha,,109 min,Drama,7.3,28.0,Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,
Dum Laga Ke Haisha,,110 min,"Comedy, Drama, Romance",7.5,,Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra
Dum Maaro Dum,,128 min,"Action, Crime, Drama",6.2,,Rohan Sippy,Abhishek Bachchan,Deepika Padukone,Bipasha Basu
Dum: Man Of Power,,,Action,5.1,8.0,Bhanupriya,Venkatesh Daggubati,Atul Kulkarni,Soundarya
Dumkata,,,"Animation, Comedy, Drama",4.8,13.0,Amol Palekar,Hyder Ali,Mihir Amrutkar,Shubhankar Atre
Duniya,,,"Crime, Drama",7.1,61.0,T. Prakash Rao,Dev Anand,Vyjayanthimala,Balraj Sahni
Duniya,,169 min,"Action, Drama",7.0,192.0,Ramesh Talwar,Ashok Kumar,Dilip Kumar,Rishi Kapoor
Duniya Jhukti Hai,,,"Drama, Family, Romance",4.3,7.0,J.B.H. Wadia,Sunil Dutt,Shyama,Kumkum
Duniya Ka Mela,,,"Drama, Romance",5.2,6.0,Kundan Kumar,Sanjay Khan,Rekha,Mehmood
Duniya Meri Jeb Mein,,139 min,"Action, Thriller",7.0,78.0,Tinnu Anand,Shashi Kapoor,Rishi Kapoor,Neetu Singh
Duniya Na Mane,,166 min,Drama,6.9,31.0,Shantaram Rajaram Vankudre,Shanta Apte,Keshavrao Date,Vimala Vasishta
Duniya Na Mane,,,"Drama, Family, Romance",5.2,13.0,V. Avadhoot,Pradeep Kumar,Mala Sinha,Sheikh Mukhtar
Duniya Rang Rangili,,,"Comedy, Drama",5.4,5.0,M. Sadiq,Johnny Walker,Shyama,Rajendra Kumar
Duniyadari,,,Drama,5.9,7.0,Ram Kelkar,Nutan,Parikshit Sahni,Vinod Mehra
Dunno Y 2... Life Is a Moment,,95 min,"Drama, Romance",6.3,33.0,Tonje Gjevjon,Sanjay Sharma,Zeenat Aman,Kapil Kaustubh Sharma
Dunno Y Na Jaane Kyun...,,137 min,"Drama, Romance",3.7,143.0,Sanjay Sharma,Zeenat Aman,Kabir Bedi,Hazel Croney
Duplicate,,164 min,"Action, Comedy, Crime",5.6,,Mahesh Bhatt,Shah Rukh Khan,Juhi Chawla,Sonali Bendre
Duplicate Sholay,,147 min,Comedy,6.5,50.0,Kanti Shah,Sapna Sappu,Amit Pachori,Dimple
Dur Naheen Manzil,,,Drama,6.2,5.0,Hari Walia,Pradeep Kumar,Sanjeev Kumar,Reshma
Durdesh,,143 min,"Action, Crime, Drama",6.2,33.0,Ambrish Sangal,Shashi Kapoor,Sharmila Tagore,Parveen Babi
Durga,,116 min,Drama,4.6,17.0,J.D. Chakravarthi,J.D. Chakravarthi,Snehal Dabi,Jayaprakash
Durgaa,,,"Action, Crime",6.3,21.0,Shibu Mitra,Hema Malini,Raj Babbar,Pran
Durgaa Maa,,,"Drama, Fantasy",6.7,7.0,K.S. Rami Reddy,Beena Banerjee,Shubha Khote,Raj Kiran
Durgamati: The Myth,,155 min,"Horror, Thriller",3.8,,Ashok G.,Bhumi Pednekar,Mahie Gill,Arshad Warsi
Durgesh Nandini,,,"Fantasy, Musical, Drama",6.5,8.0,B. Mitra,Pradeep Kumar,Ajit,Nalini Jaywant
Dus,,,Action,9.1,44.0,Mukul Anand,Rahul Dev,Sanjay Dutt,Salman Khan
Dus Kahaniyaan,,110 min,Drama,5.7,,Meghna Gulzar,Sanjay Gupta,Apoorva Lakhia,Hansal Mehta
Dus Lakh,,162 min,"Comedy, Drama, Musical",6.6,44.0,Devendra Goel,Om Prakash,Sanjay Khan,Babita Kapoor
Dus Numbri,,155 min,"Action, Comedy, Drama",5.6,104.0,Madan Mohla,Manoj Kumar,Hema Malini,Prem Nath
Dus Tola,,120 min,"Comedy, Drama",6.9,301.0,Ajoy Varma,Manoj Bajpayee,Aarti Chhabria,Pallavi Sharda
Dushman,,145 min,"Crime, Drama, Thriller",6.9,,Tanuja Chandra,Kajol,Sanjay Dutt,Ashutosh Rana
Dushman,,146 min,"Action, Drama",5.4,38.0,Shakti Samanta,Mithun Chakraborty,Mandakini,Sadashiv Amrapurkar
Dushman,,144 min,nan,6.8,8.0,Nitin Bose,K.L. Saigal,Leela Desai,Najmul Hussain
Dushman,,138 min,Drama,7.1,17.0,Raj Rishi,Dev Anand,Usha Kiran,Prabhu Dayal
Dushman Devta,,,Action,4.0,22.0,Anil Ganguly,Dharmendra,Dimple Kapadia,Sonam
Dushman Dost,,,"Adventure, Crime, Mystery",7.1,8.0,Rajesh Khanna,Reena Roy,Rekha,Shatrughan Sinha
Dushman Duniya Ka,,153 min,Drama,4.0,652.0,Mehmood,Tabrez Hashmi,Laila,Mehmood
Dushman Zamana,,129 min,"Action, Romance",5.0,25.0,Jagdish A. Sharma,Arman Kohli,Divya Bharti,Gulshan Grover
Dushmani,,,Action,6.6,23.0,Imran Khalid,Sonia Agarwal,Ishrat Ali,Raj Babbar
Dushmani: A Violent Love Story,,156 min,"Action, Drama, Romance",4.9,213.0,Sanjay Khanna,Karan Razdan,Bunty Soorma,Sunny Deol
Dushmano Ka Dushman,,,Crime,6.0,9.0,Muktha V. Srinivasan,Ali Akbar,Chiranjeevi,Kannika
Dushmun,,177 min,Drama,7.1,200.0,Dulal Guha,Meena Kumari,Rajesh Khanna,Mumtaz
Duty,,,Action,4.4,15.0,Ravikant Nagaich,Arjun Bakshi,Arun Bakshi,Rakesh Bedi
Duvidha,,82 min,"Drama, Fantasy, Romance",7.0,577.0,Mani Kaul,Hardan,Manohar Lalas,Ravi Menon
Dvandva,,51 min,"Crime, Drama, Mystery",6.1,15.0,Chhatrapal Ninawe,Satyakam Anand,Charudatta Bhagwat,Chetan Dhanani
Dwarkadhish - Kingdom of Krishna,,,Documentary,8.4,8.0,Avinash Kumar Singh,,,
Earth,,110 min,"Drama, Romance, War",7.7,,Deepa Mehta,Aamir Khan,Nandita Das,Rahul Khanna
Ebn-e-Batuta,,125 min,Sci-Fi,4.3,27.0,Varun Middha,Omkar Das Manikpuri,Rajeev Verma,Dev Gohar
Edegarike,,105 min,"Crime, Drama",7.4,199.0,D. Sumana Kittur,Aditya,Atul Kulkarni,Akanksha
Eduruleni Manishi,,138 min,"Comedy, Drama",4.5,126.0,Srinivasa Rao Jonnalagadda,J. Sreeniwas Rao,Nagarjuna Akkineni,Soundarya
Eeb Allay Ooo!,,98 min,"Comedy, Drama",7.4,,Prateek Vats,Shardul Bharadwaj,Mahender Nath,Nutan Sinha
Eena Meena Deeka,,133 min,"Action, Comedy, Crime",4.7,325.0,David Dhawan,Vinod Khanna,Rishi Kapoor,Juhi Chawla
Eent Ka Jawab Patthar,,,Action,3.0,7.0,Pachhi,Surendra Pal,Neeta Mehta,Om Prakash
Eeshwar,,147 min,"Drama, Musical, Family",7.2,455.0,K. Viswanath,Rajesh Malik,Anil Kapoor,Vijayshanti
Ehsaas: The Feeling,,116 min,"Drama, Romance",5.6,95.0,Mahesh Manjrekar,Sunil Shetty,Shabana Raza,Kirron Kher
Ehsan,,,Romance,5.8,11.0,Shiv Kumar,Joy Mukherjee,Anjana Mumtaz,K.N. Singh
Ei8ht Shani,,,Horror,4.6,38.0,Karan Razdan,Raj Tara,Meghna Naidu,Gulshan Grover
Eiga Doraemon: Nobita no getsumen tansaki,,111 min,"Animation, Action, Adventure",6.8,556.0,Jeong-beom Lee,Shinnosuke Yakuwa,Wasabi Mizuta,Sang Hyun Uhm
Eight Days,,141 min,"Comedy, Drama",6.5,8.0,D.N. Pai,Ashok Kumar,Ashok Kumar,Veera
Eik Dasttak,,,"Crime, Drama",5.0,8.0,Shekhar S. Jha,Amit Behl,Kanika Dang,Vasundhara Das
Ek Aadat,,,"Comedy, Crime, Drama",3.5,8.0,Prakash Saini,Bhavika T. Alaviye,Kumar Amit,Charlie
Ek Aasha,,123 min,Drama,7.8,10.0,Mayur Katariya,Disha Yadav,Annu Akade,Vijya Laxmi
Ek Aasman Kai Dishayen,,,Action,6.6,16.0,Kamal Batra,Rajesh Seth,S.M. Zaheer,Chanda
Ek Adhuri Kahani,,115 min,Drama,7.7,10.0,Mrinal Sen,Utpal Dutt,Shekhar Chatterjee,Vivek Chatterjee
Ek Ajnabee,,142 min,"Action, Crime, Drama",5.2,,Apoorva Lakhia,Amitabh Bachchan,Arjun Rampal,Perizaad Zorabian
Ek Ajooba,,71 min,Family,5.7,16.0,Sunil Advani,Meghna Erande,Harsh Lunia,Amrish Puri
Ek Alag Mausam,,120 min,Drama,6.7,46.0,K.P. Sasi,Nandita Das,Rajit Kapoor,Anupam Kher
Ek Anari Do Khiladi,,,"Action, Romance, Drama",4.5,11.0,Ravi Raja,Raveena Tandon,Balakrishna,Ramya Krishnan
Ek Aur Ek Gyarah,,153 min,"Action, Thriller",6.3,47.0,Ashok Roy,Shashi Kapoor,Vinod Khanna,Neetu Singh
Ek Aur Jung,,,Action,5.2,8.0,Inayat Mahshar,Raj Babbar,Dharmendra,Siddharth Dhawan
Ek Aur Sikander,,139 min,"Action, Drama",6.6,18.0,Bhaskar Shetty,Mithun Chakraborty,Anita Raj,Rakesh Roshan
Ek Aur Visphot,,,Crime,3.5,6.0,M.I. Raj,Makrand Deshpande,Kishori Godbole,Raza Murad
Ek Baap Chhe Bete,,132 min,"Comedy, Drama",5.5,8.0,Mehmood,Mehmood,Moushumi Chatterjee,Tracy Ali
Ek Baar Chale Aao,,137 min,Drama,6.7,13.0,Jagdish Sidana,Asrani,Bharat Bhushan,Jankidas
Ek Baar Kaho,,142 min,"Drama, Family, Romance",7.0,41.0,Lekh Tandon,Navin Nischol,Shabana Azmi,Dilip Dhawan
Ek Baar Phir (Once Again),,147 min,Drama,6.3,30.0,Vinod Pande,Suresh Oberoi,Deepti Naval,Pradeep Verma
Ek Bar Mooskura Do,,,"Drama, Family",6.1,19.0,Ram Mukherjee,Joy Mukherjee,Tanuja,Deb Mukherjee
Ek Battey Do,,100 min,Drama,8.5,6.0,Suzad Iqbal Khan,Abinash,Monika Chowdhury,Chandra Shekhar Dutta
Ek Bechara,,109 min,"Action, Drama",4.7,17.0,S.M. Abbas,Jeetendra,Rekha,Vinod Khanna
Ek Chadar Maili Si,,133 min,Drama,7.1,124.0,Sukhwant Dhadda,Hema Malini,Rishi Kapoor,Poonam Dhillon
Ek Chalis Ki Last Local,,143 min,"Adventure, Comedy, Crime",7.3,,Sanjay M. Khanduri,Abhay Deol,Neha Dhupia,Amit Mistry
Ek Chhotisi Love Story,,122 min,Drama,2.9,554.0,Shashilal K. Nair,Saroj Bhargava,Manisha Koirala,Jesse Randhawa
Ek Chitthi Pyar Bhari,,139 min,Drama,6.6,14.0,Vijay Sadanah,Raj Babbar,Reena Roy,Agha
Ek Chor Ek Hasina,,,Drama,5.3,10.0,K. Raghavendra Rao,Sridevi,Krishna Ghattamaneni,
Ek Daku Saher Mein,,133 min,Action,3.8,5.0,Kalidas,Ashok Kumar,Pradeep Kumar,Suresh Oberoi
Ek Dil Sau Afsane,,146 min,"Comedy, Drama, Romance",6.4,52.0,R.C. Talwar,Raj Kapoor,Waheeda Rehman,Lalita Pawar
Ek Din 24 Ghante,,95 min,Thriller,3.9,78.0,Anant Balani,Rahul Bose,Ahmed Chaudhary,Nandita Das
Ek Din Achanak,,105 min,Drama,7.1,257.0,Mrinal Sen,Shabana Azmi,Shreeram Lagoo,Aparna Sen
Ek Din Bahu Ka,,,Drama,5.4,11.0,Desh Gautam,Suresh Oberoi,Swapna,Vijay Arora
Ek Din Ka Sultan,,,"Drama, History",3.8,5.0,Sohrab Modi,,,
Ek Din... Achanak,,,"Drama, Thriller",4.9,17.0,Rajeev Virani,Rohit Roy,Manasi Joshi Roy,Mohan Kapur
Ek Do Teen Chaar,,,Action,6.2,21.0,Vijay Anand,Dev Anand,Shashi Kapoor,Dharmendra
Ek Doctor Ki Maut,,122 min,"Biography, Drama",8.3,,Tapan Sinha,Shabana Azmi,Pankaj Kapur,Irrfan Khan
Ek Duuje Ke Liye,,167 min,"Drama, Musical, Romance",7.5,,K. Balachander,Kamal Haasan,Rati Agnihotri,Madhavi
Ek Gaon Ki Kahani,,137 min,Drama,6.4,14.0,Dulal Guha,Talat Mahmood,Mala Sinha,I.S. Johar
Ek Ghar,,100 min,Drama,7.2,78.0,Girish Kasaravalli,Naseeruddin Shah,Deepti Naval,Chanda
Ek Ghat Ki Kahani,,,Documentary,6.9,8.0,Goutam Ghose,,,
Ek Gunah Aur Sahi,,,"Action, Crime, Thriller",4.6,8.0,Yogi Kathuria,Sunil Dutt,Parveen Babi,Gulshan Arora
Ek Haseena Thi Ek Deewana Tha,,105 min,Drama,2.5,104.0,Suneel Darshan,Shiv Darshan,Natasha Fernandez,Upen Patel
Ek Hasina Do Diwane,,140 min,"Comedy, Drama, Romance",5.4,18.0,S.M. Abbas,Jeetendra,Babita Kapoor,Johnny Walker
Ek Hasina Thi,,120 min,"Crime, Drama, Mystery",7.5,,Sriram Raghavan,Saif Ali Khan,Urmila Matondkar,Seema Biswas
Ek Hi Bhool,,144 min,"Drama, Family, Romance",5.8,136.0,Rama Rao Tatineni,Jeetendra,Rekha,Nazneen
Ek Hi Maqsad,,,"Action, Drama, Thriller",4.9,16.0,Pravin Bhatt,Raj Kiran,Om Puri,Divya Rana
Ek Hi Raasta,,,Drama,6.2,25.0,Mohan Segal,Jeetendra,Shabana Azmi,Vinod Mehra
Ek Hi Raasta,,130 min,Action,3.4,186.0,Deepak Bahry,Ajay Devgn,Raveena Tandon,Saeed Jaffrey
Ek Hindustani,,,Action,5.8,39.0,Tinnu Anand,Sunil Shetty,Raveena Tandon,Mohan Joshi
Ek Hota Vidushak,,145 min,"Comedy, Drama",7.0,106.0,Jabbar Patel,Mohan Agashe,Satish Alekar,Laxmikant Berde
Ek Jaan Hain Hum,,151 min,"Family, Romance",6.5,51.0,Rajiv Mehra,Rakesh Bedi,Avtar Gill,Gulshan Grover
Ek Jhalak,,,"Drama, Family",7.4,5.0,Kalidas,Pradeep Kumar,Rajendra Kumar,Vyjayanthimala
Ek Jugnu,,,Action,3.4,12.0,S.P. Muthuraman,Rajinikanth,Radhika Sarathkumar,Sridevi
Ek Kali Muskai,,120 min,"Drama, Family, Romance",6.3,10.0,Vasant Joglekar,Ashok Kumar,Joy Mukherjee,Meera
Ek Ke Baad Ek,,,"Drama, Family",6.5,20.0,Raj Rishi,Dev Anand,Tarla Mehta,Sharda
Ek Khiladi Ek Haseena,,143 min,"Comedy, Crime, Thriller",5.7,595.0,Suparn Varma,Fardeen Khan,Koena Mitra,Kay Kay Menon
Ek Khilari Bawan Pattey,,,"Action, Musical",6.3,7.0,Ravi Khanna,Dev Kumar,Laxmi Chhaya,Naqi Jehan
Ek Krantiveer: Vasudev Balwant Phadke,,126 min,"Action, History",6.5,43.0,Gajendra Ahire,Amitabh Bachchan,Ajinkya Deo,Ramesh Deo
Ek Kunwari Ek Kunwara,,,"Adventure, Drama, Musical",6.1,14.0,Prakash Mehra,Pran,Leena Chandavarkar,Rakesh Roshan
Ek Ladka Ek Ladki,,162 min,"Comedy, Romance",5.7,,Vijay Sadanah,Salman Khan,Neelam Kothari,Anupam Kher
Ek Ladki Ko Dekha Toh Aisa Laga,,120 min,"Comedy, Drama, Romance",5.5,,Shelly Chopra Dhar,Sonam Kapoor,Anil Kapoor,Rajkummar Rao
Ek Lootera,,,Action,6.1,9.0,Jitendra Chawda,Dharmendra,Prithvi,Durgesh Nandini
Ek Mahal Ho Sapno Ka,,,"Drama, Family",7.0,65.0,Devendra Goel,Ashok Kumar,Dharmendra,Sharmila Tagore
Ek Main Aur Ek Tu,,138 min,Romance,6.9,17.0,Ravi Tandon,Shashi Kapoor,Rubina,Tanuja
Ek Main Aur Ekk Tu,,110 min,"Comedy, Drama, Romance",5.7,,Shakun Batra,Kareena Kapoor,Imran Khan,Zenobia Shroff
Ek Musafir Ek Hasina,,,"Action, Comedy, Mystery",6.7,49.0,Raj Khosla,Joy Mukherjee,Sadhana,Dhumal
Ek Mutthi Aasmaan,,,"Drama, Family",6.7,12.0,Virendra Sinha,Vijay Arora,Radha Saluja,I.S. Johar
Ek Nai Paheli,,,Drama,6.7,55.0,K. Balachander,Raaj Kumar,Hema Malini,Kamal Haasan
Ek Nanhi Munni Ladki Thi,,136 min,Drama,6.1,10.0,Vishram Bedekar,Mumtaz,Bobby,Laxmi Chhaya
Ek Nari Do Roop,,,"Drama, Mystery",5.7,7.0,Madhusudan,Shatrughan Sinha,Rashmi Dhawan,Malika
Ek Nari Ek Brahmachari,,,"Comedy, Drama",6.3,27.0,Kolli Pratyagatma,Mumtaz,Jeetendra,B.B. Bhalla
Ek Naya Itihas,,,Drama,8.6,9.0,B.S. Narayan,Vishnuvardhan,Hema Malini,C.S. Dubey
Ek Naya Rishta,,,Family,6.7,20.0,Vinod Pande,Rekha,Raj Kiran,Mazhar Khan
Ek Nazar,,,"Drama, Romance",6.0,95.0,B.R. Ishara,Amitabh Bachchan,Jaya Bachchan,Nadira
Ek Number Ka Chor,,180 min,"Action, Crime, Drama",4.0,7.0,Tajdar Amrohi,Aatish Devgan,Mashhoor Amrohi,Mazhar Khan
Ek Paheli,,131 min,"Drama, Horror, Mystery",6.8,63.0,Naresh Kumar,Feroz Khan,Tanuja,Sanjeev Kumar
Ek Paheli Leela,,145 min,"Mystery, Romance, Thriller",3.7,,Bobby Khan,Sunny Leone,Rahul Dev,Mohit Ahlawat
Ek Pal,,135 min,Drama,6.9,43.0,Kalpana Lajmi,Shabana Azmi,Naseeruddin Shah,Farooq Shaikh
Ek Phool Char Kante,,136 min,"Comedy, Drama, Romance",6.8,46.0,Bhappi Sonie,Sunil Dutt,Waheeda Rehman,Johnny Walker
Ek Phool Do Mali,,150 min,"Drama, Family, Musical",6.6,207.0,Devendra Goel,Sanjay Khan,Balraj Sahni,Sadhana
Ek Phool Ek Bhool,,,"Drama, Romance",6.2,6.0,Kedar Kapoor,Dev Kumar,Zeb Rehman,Sudhir
Ek Phool Teen Kante,,,Comedy,5.9,16.0,Anup Malik,Vikas Bhalla,Monica Bedi,Sadashiv Amrapurkar
Ek Raat,,155 min,"Action, Crime, Drama",5.8,6.0,Rajnath,Sheikh Mukhtar,Simi Garewal,Ravi Kumar
Ek Raat Shaitan Ke Saath,,,Horror,2.7,15.0,Chandni Gupta,B.K. Malhotra,Sapna Sappu,Rajesh Sabharwal
Ek Raaz,,132 min,Comedy,6.8,30.0,Shakti Samanta,Kishore Kumar,Jamuna,Pran
Ek Rani Aisi Bhi Thi,,,"Biography, History",6.1,8.0,Gulbahar Singh,Hema Malini,Vinod Khanna,Sachin Khedekar
Ek Saal,,134 min,"Drama, Family, Romance",7.3,37.0,Devendra Goel,Ashok Kumar,Madhubala,Johnny Walker
Ek Sainik - The Tale of a warrior,,45 min,"Action, Drama",8.2,17.0,Pratyush Sharma,Pratyush Sharma,Shivani Pathak,Priyom Gautam
Ek Sapera Ek Lutera,,125 min,"Action, Comedy, Musical",4.9,22.0,Naresh Kumar,Feroz Khan,Kumkum,Sunder
Ek Saudagar,,,Drama,5.1,9.0,P. Vasu,Poonam Dhillon,Kushboo,Rajinikanth
Ek Se Badhkar Ek,,158 min,"Action, Comedy, Crime",7.0,44.0,Brij,Ashok Kumar,Raaj Kumar,Sharmila Tagore
Ek Se Badhkar Ek,,146 min,"Comedy, Thriller",4.4,155.0,Kundan Shah,Sunil Shetty,Raveena Tandon,Shekhar Suman
Ek Se Bhale Do,,,"Action, Comedy, Drama",5.9,22.0,S.V. Rajendra Singh Babu,Rati Agnihotri,Balwant Dullat,Kumar Gaurav
Ek Se Bure Do,,180 min,"Action, Comedy, Crime",4.3,62.0,Tariq Khan,Anita,Lankesh Bhardwaj,Snehal Dabi
Ek Se Mera Kya Hoga,,,Romance,4.5,15.0,Ashish Bhatia,Mallika Nayyar,Lyvi Rohatgi,Sangeeta Tiwari
Ek Second... Jo Zindagi Badal De...,,,"Drama, Romance, Thriller",3.2,47.0,Partho Ghosh,Bhushan Agarwal,Nikita Anand,Venita Anand
Ek Shola,,,"Comedy, Drama, Romance",4.4,9.0,Chander Saigal,Pradeep Kumar,Mala Sinha,Shubha Khote
Ek Shriman Ek Shrimati,,140 min,"Drama, Romance",6.6,47.0,Bhappi Sonie,Shashi Kapoor,Babita Kapoor,Rajendranath Malhotra
Ek Sthree,,115 min,Drama,5.7,15.0,Anil,Suman Ranganath,Kashish,Vivek Anand
Ek tha Bhujang,,73 min,Drama,6.9,8.0,Mohinder Pratap Singh,Yashit Duggal,Siddant Gupta,Pritma Manohar
Ek Tha Hero,,120 min,"Drama, Family",4.0,5.0,Yogesh Pagare,Asrani,Ashwini Kalsekar,Ayush Mahesh Khedekar
Ek Tha Raja,,150 min,"Action, Thriller",3.9,115.0,Dayal Nihalani,Aditya Pancholi,Sunil Shetty,Saif Ali Khan
Ek Tha Tiger,,132 min,"Action, Romance, Thriller",5.5,,Kabir Khan,Salman Khan,Katrina Kaif,Girish Karnad
Ek Thi Daayan,,135 min,"Horror, Romance, Thriller",5.7,,Kannan Iyer,Emraan Hashmi,Konkona Sen Sharma,Kalki Koechlin
Ek Thi Larki,,164 min,Drama,6.9,18.0,Roop K. Shorey,Meena Shorey,Motilal,Kuldip Kaur
Ek Tho Chance,,120 min,Drama,4.4,15.0,Saeed Akhtar Mirza,Amrita Arora,Ali Fazal,Uttam Halder
Ek Vivaah... Aisa Bhi,,132 min,"Drama, Romance",5.2,448.0,Kaushik Ghatak,Isha Koppikar,Sonu Sood,Anand Abhyankar
Ek: The Power of One,,140 min,"Action, Drama, Thriller",4.7,327.0,Sangeeth Sivan,Bobby Deol,Shriya Saran,Kulbhushan Kharbanda
Ek-Hi-Rasta,,151 min,Drama,6.9,52.0,B.R. Chopra,Ashok Kumar,Meena Kumari,Sunil Dutt
Ekk Deewana Tha,,136 min,"Drama, Romance",5.9,,Gautham Vasudev Menon,Prateik,Amy Jackson,Sachin Khedekar
Ekka Raja Rani,,,"Action, Comedy, Drama",4.8,76.0,Afzal Ahmed,Vinod Khanna,Govinda,Ayesha Jhulka
Ekkees Tareekh Shubh Muhurat,,97 min,Drama,5.7,394.0,Pavan Kumar,Sanjay Mishra,Mahesh Sharma,Kajal Jain
Ekkees Toppon Ki Salaami,,140 min,Comedy,6.0,502.0,Ravindra Gautam,Anupam Kher,Neha Dhupia,Divyendu Sharma
Eklavya: The Royal Guard,,105 min,"Action, Drama, Mystery",6.1,,Vidhu Vinod Chopra,Amitabh Bachchan,Saif Ali Khan,Sanjay Dutt
Ekram,,94 min,Drama,5.8,21.0,Saheem Khan,Saheem Khan,Kunal Sharma,Vandana Chopra
Ekta,,99 min,"Horror, Mystery, Thriller",8.0,36.0,G. Suman Reddy,Salil Ankola,Navneet Kaur Dhillon,Avneet Kaur
Elaan,,146 min,"Action, Crime, Thriller",5.3,854.0,Guddu Dhanoa,Akshay Kumar,Amrish Puri,Madhoo
Elaan,,144 min,"Action, Drama, Musical",6.0,49.0,K. Ramanlal,Vinod Mehra,Rekha,Vinod Khanna
Elaan,,159 min,"Action, Thriller",4.4,698.0,Vikram Bhatt,Arjun Rampal,Ameesha Patel,John Abraham
Elan,,133 min,Drama,6.2,12.0,Mehboob Khan,Surendra,Munawwar Sultana,Mohammad Afzal
Eli Eli Lama Sabachthani?,,,Crime,6.7,18.0,Jiju Antony,Girish Nair,Sanal Aman,Rajshri Deshpande
EMI: Liya Hai To Chukana Padega,,180 min,"Comedy, Crime, Drama",4.2,582.0,Saurabh Kabra,Sanjay Khanna,Sanjay Dutt,Urmila Matondkar
Enakkul Oruvan,,149 min,"Action, Drama",6.5,126.0,S.P. Muthuraman,Kamal Haasan,Shobana,Sathyaraj
Encounter Dayanayak,,145 min,"Action, Crime, Drama",5.7,40.0,D. Rajendra Babu,Bhaskarabatla Usha,Kaushal,Shekar Kotyan
Encounter: The Killing,,150 min,"Crime, Drama",6.1,147.0,Ajay Phansekar,Naseeruddin Shah,Dilip Prabhavalkar,Tara Deshpande
Enemmy,,,"Action, Crime, Drama",4.9,225.0,Ashu Trikha,Sunil Shetty,Kay Kay Menon,Johnny Lever
English ki taay taay fisss,,137 min,"Comedy, Romance",6.1,11.0,Shailendra Singh Rajput,Aishwarya Rajesh Ash,Manoj Joshi,Leysan Karimova
English Vinglish,,134 min,"Comedy, Drama, Family",7.8,,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou
Ennavo Nadikkaradhu,,,nan,3.6,9.0,Sridevi,,,
Escape from Taliban,,133 min,"Adventure, Drama, Thriller",4.3,164.0,Ujjwal Chatterjee,Manisha Koirala,Nawab Shah,Vineeta Malik
Espousal,,,"Action, Drama",6.1,15.0,Kantilal Rathod,Romesh Sharma,Shabana Azmi,Asha Sachdev
Ethirum Puthirum,,,Action,5.1,20.0,V.C. Ramani,Mammootty,Aachi Manorama,Nassar
Evadithe Nakenti,,170 min,"Action, Crime, Drama",6.2,58.0,Jeevitha,Rajasekhar,Samudra V.,Rajasekhar
Evening Shadows,,102 min,Drama,7.1,472.0,Sridhar Rangayan,Mona Ambegaonkar,Ananth Narayan Mahadevan,Devansh Doshi
